qubit,fidelity_without_active_reset,fidelity_with_active_reset,fidelity_delta_active_minus_without,status
q1,0.563,0.56105,-0.0019499999999998963,measured
q2,0.5041,0.50585,0.0017500000000000293,measured
q3,0.5259,0.5239499999999999,-0.0019500000000001183,measured
q4,0.8210500000000001,0.5086999999999999,-0.3123500000000001,measured
q5,0.84735,0.538,-0.30935,measured
q6,0.5903,0.5035000000000001,-0.08679999999999999,measured
q7,0.87245,0.5710500000000001,-0.3013999999999999,measured
q8,0.8509500000000001,0.9494,0.09844999999999993,measured
q9,0.8028500000000001,0.5983,-0.20455,measured
q10,0.5657,0.50255,-0.06314999999999993,measured
q11,0.8292999999999999,0.9533,0.12400000000000011,measured
q12,0.73815,0.5155000000000001,-0.2226499999999999,measured
q13,0.9077999999999999,0.8484,-0.0593999999999999,measured
q14,0.6024499999999999,0.50575,-0.0966999999999999,measured
q15,0.6516,0.5403,-0.11129999999999995,measured
q16,0.6023499999999999,0.5133000000000001,-0.08904999999999985,measured
q17,0.7343500000000001,0.67535,-0.05900000000000005,measured
q18,0.80665,0.70955,-0.09709999999999996,measured
q19,0.7633000000000001,0.5284,-0.2349000000000001,measured
q20,0.7225,0.66315,-0.059350000000000014,measured
