qubit,condition,readout_fidelity,ground_readout_fidelity,excited_readout_fidelity,threshold,blobs_angle,status
q1,without_active_reset,0.5642,0.5642,0.5642,0.0006425549571539547,-1.4881708219899594,measured
q2,without_active_reset,0.5056,0.5061,0.5051,-0.013219161679349483,0.912323180985196,measured
q3,without_active_reset,0.5257499999999999,0.6158,0.4357,-0.19307745789641945,-1.4391551032387286,measured
q4,without_active_reset,0.82145,0.8582,0.7847,0.11394750923002236,2.841458115808361,measured
q5,without_active_reset,0.8382000000000001,0.8727,0.8037,0.1357469741302025,3.06534930025416,measured
q6,without_active_reset,0.5961,0.72,0.4722,-1.0120374362187683,-1.720506182944479,measured
q7,without_active_reset,0.88255,0.8891,0.876,-0.030338597963842424,-1.0253804173284617,measured
q8,without_active_reset,0.8177,0.8116,0.8238,-0.3455046969854366,-0.5255357006620753,measured
q9,without_active_reset,0.75615,0.7057,0.8066,-0.4481464044262323,-2.181351070689996,measured
q10,without_active_reset,0.5575,0.5541,0.5609,0.01399014842212284,-1.316523725540078,measured
q11,without_active_reset,0.81335,0.7904,0.8363,1.0544228379329244,0.5159347988840235,measured
q12,without_active_reset,0.75205,0.7515,0.7526,-0.09690139650108351,-2.3004634258325867,measured
q13,without_active_reset,0.8462000000000001,0.8487,0.8437,-0.015485724453007332,-2.7128283860230793,measured
q14,without_active_reset,0.5914,0.5934,0.5894,0.026355386231090017,-3.087416465878547,measured
q15,without_active_reset,0.65205,0.6549,0.6492,0.055293379993910256,2.3362707848595456,measured
q16,without_active_reset,0.60365,0.5995,0.6078,0.03862952973189668,2.2169443855149216,measured
q17,without_active_reset,0.731,0.7309,0.7311,0.06342394972369819,1.329477839408476,measured
q18,without_active_reset,0.79705,0.8094,0.7847,0.07420160874975552,-0.7854339794260919,measured
q19,without_active_reset,0.7499,0.736,0.7638,-0.036876271897917014,1.7576276199262575,measured
q20,without_active_reset,0.7117,0.7112,0.7122,-0.11298763417960389,-0.4221866092885022,measured
q1,with_active_reset,0.55735,0.5566,0.5581,0.0031828394757830152,2.1020384030613686,measured
q2,with_active_reset,0.50925,0.5098,0.5087,-0.0115753786731836,1.3855083957431276,measured
q3,with_active_reset,0.52815,0.6726,0.3837,-0.20284268836935232,-1.45214078355412,measured
q4,with_active_reset,0.5056499999999999,0.5387,0.4726,0.02692784742557794,-1.6183925392889507,measured
q5,with_active_reset,0.5590999999999999,0.5828,0.5354,0.206254644667077,1.229740017855818,measured
q6,with_active_reset,0.5045999999999999,0.5154,0.4938,-0.7294324967755814,-1.5741782503494826,measured
q7,with_active_reset,0.5676,0.563,0.5722,-0.029192360565252373,-1.048626749842538,measured
q8,with_active_reset,0.9534,0.9544,0.9524,-0.34833234950775827,-0.506417243298867,measured
q9,with_active_reset,0.59895,0.6465,0.5514,-0.3807440799753249,0.5398738944091778,measured
q10,with_active_reset,0.5097,0.5069,0.5125,0.013385228509094516,-2.293487976825201,measured
q11,with_active_reset,0.9541999999999999,0.9338,0.9746,1.0437365385199238,0.5089107055432514,measured
q12,with_active_reset,0.52305,0.5286,0.5175,-0.08897901967067459,0.6023804178520081,measured
q13,with_active_reset,0.84145,0.9216,0.7613,0.09760438933083537,0.44630346188083764,measured
q14,with_active_reset,0.5118,0.5098,0.5138,0.028245482284967934,0.01805968844972188,measured
q15,with_active_reset,0.5427,0.5392,0.5462,0.057758167597453204,2.2933789644269216,measured
q16,with_active_reset,0.5164,0.5158,0.517,0.04064342438878642,2.295838818193034,measured
q17,with_active_reset,0.6826,0.6769,0.6883,0.05965797377201371,1.3158347315037002,measured
q18,with_active_reset,0.7214499999999999,0.7403,0.7026,0.11294550311133271,-0.6922021202172739,measured
q19,with_active_reset,0.52315,0.5439,0.5024,-0.040563991599986596,-1.5700360570104581,measured
q20,with_active_reset,0.6629,0.6491,0.6767,-0.12737058310173865,-0.383448824716501,measured
